,date,reserve0,reserve1
0,1616461200,2356.125551089,580958.240861890406255338
1,1616464800,2080.455537036,967886.476017841650714949
2,1616468400,2519.150523801,1003627.944250844279930045
3,1616472000,2687.683375893,942580.005916666367354286
4,1616475600,2798.322298837,906002.024290486807805057
5,1616479200,2964.742981823,774614.111667855330987354
6,1616482800,2959.822439034,776311.785126796769609407
7,1616486400,2958.608941383,776816.446300634776546407
8,1616490000,2802.280279063,820387.896517100522346695
9,1616493600,3045.32359759,839450.376810583915548017
10,1616497200,3074.048402966,832691.738762850072145306
11,1616500800,2980.769754867,869561.638300317464316671
12,1616504400,2842.540194357,912095.196766339702488022
13,1616508000,2685.875037966,1220192.851343316408648992
14,1616511600,2555.598994004,1323128.509381824888058722
15,1616515200,2590.620806899,1516221.636778325423109778
16,1616518800,2615.253937474,1421274.527236478991110653
17,1616522400,2707.946146149,1398121.199809523374277009
18,1616526000,3092.614061896,1238906.244382441919580169
19,1616529600,3611.881127257,1556234.78890462854106434
20,1616533200,3714.98604075,1516257.5170005594592837
21,1616536800,4025.412847039,1516966.80613782659751615
22,1616540400,4416.607919603,1697422.457358748036081873
23,1616544000,4430.164372719,1892887.68041465653055652
24,1616547600,4932.29569886,2114206.148475887611556333
25,1616551200,5082.709020094,2093659.482758052287341148
26,1616554800,5398.660655451,2098507.862734040270598001
27,1616558400,6073.048142177,2006384.526781871982775571
28,1616562000,5870.269871132,2258071.022535727912572032
29,1616565600,6122.464560865,2295165.612012045287147213
30,1616569200,6679.028930475,2519846.503094072012547476
31,1616572800,6567.133709177,2322103.372957777832400194
32,1616576400,6305.954099078,2323412.854486502207028136
33,1616580000,6168.130689764,2373106.875122978033416343
34,1616583600,6179.31646782,2540804.152052208507934692
35,1616587200,6189.368764626,2538365.287966695795409194
36,1616590800,6520.181704388,2443016.049349800668960285
37,1616594400,6022.886323502,2645473.176584482889695523
38,1616598000,6211.430628848,2565424.428929018248038006
39,1616601600,6229.633757397,2579259.421470137643590886
40,1616605200,6455.271004971,2505500.393324361438477097
41,1616608800,6188.500356025,2369682.125561196341780529
42,1616612400,6578.126237163,2247533.241935923443621231
43,1616616000,6631.641319671,2230169.870121931213411317
44,1616619600,6786.342458719,2247262.973588277131515028
45,1616623200,6735.370962715,2264498.722185777932931952
46,1616626800,6800.062502066,2249211.530242209608666153
47,1616630400,6891.726600656,2256698.795662742777913107
48,1616634000,7144.609488751,2238011.560571564486190123
49,1616637600,7273.746127054,2169172.943409016017336622
50,1616641200,7339.115952053,2157860.279358901207186739
51,1616644800,7025.448476676,2225793.517334375836040478
52,1616648400,6888.637156961,2270150.091458362676071004
53,1616652000,6451.839506818,2364907.231899859367393259
54,1616655600,6594.796977429,2313799.095495997398092315
55,1616659200,6625.585619082,2303089.066604453440428382
56,1616662800,6591.677720697,2314978.674205071220093817
57,1616666400,6589.115936242,2400477.716196123589403607
58,1616670000,6509.78215328,2394574.210284270223190817
59,1616673600,6611.63700843,2357816.015443395056937225
60,1616677200,6708.047919264,2319667.959118376983887957
61,1616680800,6700.78887994,2325145.912558466523658347
62,1616684400,6724.581300707,2327794.284951980449199069
63,1616688000,6776.178088124,2310673.987070821479256995
64,1616691600,6322.754603346,2058602.845076984224469406
65,1616695200,6558.011294827,1957452.767652393852126944
66,1616698800,6109.34578434,1981783.614182217726163344
67,1616702400,6135.727901558,1973626.540850196036575794
68,1616706000,5995.140975168,2020209.50810074323920105
69,1616709600,5752.98878809,2106083.640638170988516075
70,1616713200,5430.029704879,2110853.7519704371522272
71,1616716800,5312.236718757,2138365.655577918244354098
72,1616720400,4736.646694247,2189927.095385065208314816
73,1616724000,5226.801598312,1987222.507109152403413755
74,1616727600,5160.022098541,1980746.757160881859195244
75,1616731200,4934.950703589,2185135.465229238073193182
76,1616734800,4586.544513662,1976503.654590573962037602
77,1616738400,4019.134111134,1725088.787611342289153648
78,1616742000,4203.354572119,1691596.198207477836691081
79,1616745600,4521.407223924,1752958.288733049647247958
80,1616749200,4588.11225679,1752493.184343324418539578
81,1616752800,4145.52055918,1919119.533570803127183285
82,1616756400,4246.042924036,1938126.308339987314806705
83,1616760000,3960.594906831,2078243.05048820502283829
84,1616763600,4132.111890331,1975233.142161283634419601
85,1616767200,3743.873367204,2152481.401515535336567614
86,1616770800,4290.279420768,2168932.854698436020124666
87,1616774400,5051.24479877,2328112.787491776980400301
88,1616778000,4919.491729398,2392047.797959316497543938
89,1616781600,4532.099053472,2481626.12785168003645576
90,1616785200,4528.443286459,2393544.035806941504614873
91,1616788800,4417.997694224,2444688.804821577163537892
92,1616792400,4383.099806081,2464428.674616345240061854
93,1616796000,4025.708819101,2597852.64505002525404956
94,1616799600,4113.605173657,2567139.407972066378477375
95,1616803200,4016.298389405,2632759.856314947282865283
96,1616806800,3866.616661306,2750055.56811315292671844
97,1616810400,3977.318402716,2683273.214780136652379498
98,1616814000,3892.22990827,2742546.413359148298899792
99,1616817600,3594.905188128,3007360.66074765123429413
100,1616821200,3310.769478563,2789377.312150710575848446
101,1616824800,3350.441497864,2569932.550779992366643256
102,1616828400,3429.570966498,2729204.514927197849390656
103,1616832000,3504.729353012,2741320.611248130494805735
104,1616835600,3511.503117793,2736707.165064440323372376
105,1616839200,3610.502290267,2669959.416913317260420443
106,1616842800,3528.187190846,2742021.017645162737068206
107,1616846400,3472.812027619,2783228.465958124209987849
108,1616850000,3465.771996898,2713521.032389848210599069
109,1616853600,3351.96446557,2808576.188686935618466358
110,1616857200,3418.277893341,2557327.179479080808261348
111,1616860800,3375.883012388,2794761.056944292193186385
112,1616864400,3273.463451896,2890761.582033630266916859
113,1616868000,3113.419420045,3058552.988404076378084389
114,1616871600,3018.736619327,3256874.144600972165818232
115,1616875200,3103.296455139,3034190.19537892919873075
116,1616878800,3147.751090046,2991390.845467690891167394
117,1616882400,3308.352067491,3059181.166716311097096698
118,1616886000,3125.268576907,3294394.979947687750971998
119,1616889600,3280.007861604,3136559.803932277929778469
120,1616893200,3351.19302373,3070451.348761809737546785
121,1616896800,3480.678129661,2957738.764191275986971468
122,1616900400,3333.588214542,3130150.74544158603823888
123,1616904000,3309.672999315,3141647.00652933380536505
124,1616907600,3343.788062277,3113269.108502626371036144
125,1616911200,3305.796542627,3151191.155563576763157278
126,1616914800,2762.934815649,2936439.570203156653228011
127,1616918400,3225.937771691,3269027.709352339868518585
128,1616922000,3143.334301572,3261779.408120807151808363
129,1616925600,3286.815913894,3120087.765064310450475753
130,1616929200,3398.130966889,3089396.72107546220396604
131,1616932800,3406.752671162,3082845.614363915066512778
132,1616936400,3427.51226402,3068751.685068293127447143
133,1616940000,3375.035168711,3128658.28503130546637142
134,1616943600,3324.38321468,3432170.193617331697623102
135,1616947200,3652.830029293,4099505.894088710745723489
136,1616950800,3146.746721682,3620156.010144657993462218
137,1616954400,3562.482251416,3364135.70187242514922226
138,1616958000,3466.185831465,3299403.997546097135009214
139,1616961600,3345.433207889,3349302.223738910544745766
140,1616965200,3423.531560709,3265190.16746613851222379
141,1616968800,3514.629402879,3245592.19306813014246791
142,1616972400,3297.477964892,3194457.31806333107236381
143,1616976000,3418.152109044,3348494.319467420366327909
144,1616979600,3612.680281457,3169321.033420874958494653
145,1616983200,3684.002438751,3059101.075133083000301327
146,1616986800,3541.219487382,3201389.164612183391157571
147,1616990400,3411.48903035,3329668.004003499932321806
148,1616994000,3440.796044466,3306787.682145578845166518
149,1616997600,3448.018965392,3313493.635118619835866081
150,1617001200,3564.029840569,3206051.879578525926228429
151,1617004800,3189.106382841,3019896.070669238576016965
152,1617008400,3554.554275567,3262891.021187765438145861
153,1617012000,3665.428712848,3170993.5704506914886378
154,1617015600,3605.417955218,3228673.109146758754883065
155,1617019200,3593.093662903,3239834.529962168193435862
156,1617022800,3533.702611847,3294474.4631674340692805
157,1617026400,3538.760893019,3280891.390118879166336229
158,1617030000,3545.761172053,3274641.973351104048130437
159,1617033600,3601.366606874,3219241.37992660689188806
160,1617037200,4120.691000928,2819925.271805054853556925
161,1617040800,3899.349954107,3076792.111002434414722262
162,1617044400,3596.353193804,3355161.723187742193975152
163,1617048000,3353.443534867,3537176.920014299942049639
164,1617051600,3505.157842171,3386846.366648563963309129
165,1617055200,3543.882146123,3350046.742782165124539704
166,1617058800,3548.158005451,3276677.784622513941222959
167,1617062400,3587.68825829,3241392.7953641717580099
168,1617066000,3642.451064961,3212636.501579825189620316
169,1617069600,3688.481867927,3181312.438319761678833161
170,1617073200,3622.942626669,3168480.750390514165358399
171,1617076800,3992.13363667,3927548.801940764502762357
172,1617080400,3957.444727198,3967925.65916706628748876
173,1617084000,4019.453188347,3713021.784222781243916396
174,1617087600,4015.6963834,3724123.240701409433150844
175,1617091200,4019.63384031,3656421.472581077216331018
176,1617094800,4047.364449389,3631483.072900129401949
177,1617098400,4001.999273544,3672842.594809589798628751
178,1617102000,4037.495338723,3640687.388823753295778674
179,1617105600,4056.900566912,3623325.072182720517707446
180,1617109200,4257.522128594,3453929.072502937649096076
181,1617112800,4193.14723026,3486471.091039845468185188
182,1617116400,4244.22199849,3444989.973634667436453841
183,1617120000,4122.481882044,3509304.475096191555435642
184,1617123600,4296.852052821,3621328.353016285016646404
185,1617127200,4490.593014066,3453173.235877265081140845
186,1617130800,4399.272351438,3530887.84512827927977318
187,1617134400,4380.225992635,3546547.857564808830731888
188,1617138000,4220.511834849,3719579.997652580042781629
189,1617141600,4317.046304173,3641859.915405327454285094
190,1617145200,4310.349556626,3650321.734550554912693407
191,1617148800,4294.409411296,3466016.253842867248376619
192,1617152400,4289.488719047,3504591.216889709745959957
193,1617156000,5073.208848317,3512021.097536748957562121
194,1617159600,5085.722788335,3566105.965699811464451907
195,1617163200,4944.493683462,4014907.468640094561319311
196,1617166800,4972.814811061,4009442.223494463809906418
197,1617170400,4990.15377323,3996307.677248410564952144
198,1617174000,5098.577309896,3906891.669610865563664765
199,1617177600,4986.542600521,3668953.108209902374404881
200,1617181200,5118.502121779,3889395.403259154025634274
201,1617184800,5137.943620758,3806817.219270667981726571
202,1617188400,5243.274507501,3730859.232630288316480375
203,1617192000,5150.106396079,3789987.209847933645032913
204,1617195600,5113.24721921,3713963.881301358273824324
205,1617199200,5113.080219739,3714459.403535798323269707
206,1617202800,5056.402074159,3756849.629268537124526429
207,1617206400,5136.327983091,3698609.682310762896427242
208,1617210000,5331.899807743,3535794.89866749981464252
209,1617213600,5467.070380979,2425263.104118159646013605
210,1617217200,4808.734801186,2762027.329422504025559146
211,1617220800,4550.804636245,2274200.905843315819794747
212,1617224400,4472.778847476,2308443.935746297470602361
213,1617228000,4335.65517068,2349086.051823222278895545
214,1617231600,4452.62087744,2241233.001789831243046691
215,1617235200,4137.957454846,2411433.190284975829330449
216,1617238800,4183.474402039,2445026.5427149461181595
217,1617242400,4659.483748238,2542023.904916418252877953
218,1617246000,4352.686258568,2264974.862642322678482564
219,1617249600,4403.989102639,2238890.639786365478287348
220,1617253200,4335.480180449,2274505.849269958885977902
221,1617256800,4403.979006192,2239240.962393589815330183
222,1617260400,4348.989050407,2391284.205598141575334823
223,1617264000,4304.178594916,2191300.902570957507274794
224,1617267600,4455.522799271,2418262.962889608650320225
225,1617271200,4435.314408145,2424676.13108163416040193
226,1617274800,4354.907914375,2235301.837977365286812061
227,1617278400,4359.861426772,2351511.735837700326232442
228,1617282000,4263.426124465,2404885.512357518018541537
229,1617285600,4301.640413004,2383645.870944095642629015
230,1617289200,4447.926717993,2264163.965452600444211715
231,1617292800,5015.412185747,2023913.528339363482916885
232,1617296400,5217.177600274,1820678.277674062988748569
233,1617300000,5714.912728092,1686387.736925670030156843
234,1617303600,5148.067193998,1640389.044731875637696157
235,1617307200,5598.372221194,1443769.659518309496432847
236,1617310800,4910.331072308,1672581.024973404310860791
237,1617314400,4809.195444119,1753746.977416041151915708
238,1617318000,4749.726345256,1775783.220272802373231142
239,1617321600,4654.398088052,1812454.448370269306337996
240,1617325200,4565.200003348,1848411.924349382895587749
241,1617328800,4635.105841377,1783926.711474235592033089
242,1617332400,4654.070073114,1776905.509551323567083173
243,1617336000,4786.147301652,1728015.071601931851565608
244,1617339600,4807.719989426,1720603.022166775693479541
245,1617343200,4948.902512803,1671690.633985386748974063
246,1617346800,5332.799986568,1551716.290546853878096506
247,1617350400,5137.372544079,1445546.130682068508346882
248,1617354000,4891.124418035,1521137.070230314721357946
249,1617357600,4850.048059754,1534482.380403752430248828
250,1617361200,4740.336102793,1569182.657167605259156758
251,1617364800,4798.80073467,1565423.97048837546754162
252,1617368400,4758.883069215,1578594.423777178545914691
253,1617372000,4786.048370006,1569675.664785525378477278
254,1617375600,4765.551623699,1576607.938212239567410096
255,1617379200,4719.177959735,1592375.018369005755140292
256,1617382800,4697.980532934,1599744.380922782687257105
257,1617386400,4681.76817924,1605315.573299858482819777
258,1617390000,4450.107541766,1849837.62228863708986226
